obstacle,treasure,fragment
"(120, 680, 40, 40)","(320, 660, 40, 20)","(570, 210, 20, 20)"
"(120, 260, 40, 80)","(580, 240, 40, 20)","(610, 190, 20, 20)"
"(120, 680, 40, 40)","(640, 620, 40, 20)","(570, 170, 20, 20)"
"(120, 260, 40, 120)","(720, 460, 40, 20)","(730, 330, 20, 20)"
"(120, 320, 40, 40)",,"(310, 750, 20, 20)"
"(120, 640, 40, 80)",,"(210, 570, 20, 20)"
"(120, 40, 40, 80)",,"(430, 750, 20, 20)"
"(120, 380, 40, 40)",,"(650, 90, 20, 20)"
"(200, 320, 40, 80)",,"(490, 190, 20, 20)"
"(200, 320, 40, 80)",,"(610, 510, 20, 20)"
"(200, 180, 40, 80)",,"(490, 470, 20, 20)"
"(200, 140, 40, 80)",,"(390, 730, 20, 20)"
"(200, 20, 40, 40)",,
"(200, 60, 40, 80)",,
"(200, 640, 40, 40)",,
"(200, 460, 40, 40)",,
"(280, 420, 40, 40)",,
"(280, 200, 40, 120)",,
"(280, 200, 40, 40)",,
"(280, 660, 40, 80)",,
"(280, 160, 40, 80)",,
"(280, 0, 40, 80)",,
"(280, 600, 40, 80)",,
"(280, 140, 40, 80)",,
"(360, 600, 40, 80)",,
"(360, 360, 40, 80)",,
"(360, 60, 40, 40)",,
"(360, 400, 40, 40)",,
"(360, 480, 40, 40)",,
"(360, 420, 40, 120)",,
"(360, 420, 40, 40)",,
"(360, 340, 40, 40)",,
"(440, 280, 40, 80)",,
"(440, 680, 40, 40)",,
"(440, 140, 40, 40)",,
"(440, 540, 40, 40)",,
"(440, 440, 40, 80)",,
"(440, 40, 40, 120)",,
"(440, 700, 40, 40)",,
"(440, 540, 40, 80)",,
"(520, 280, 40, 40)",,
"(520, 500, 40, 40)",,
"(520, 200, 40, 40)",,
"(520, 160, 40, 40)",,
"(520, 680, 40, 80)",,
"(520, 140, 40, 40)",,
"(520, 520, 40, 80)",,
"(520, 140, 40, 80)",,
"(600, 700, 40, 40)",,
"(600, 700, 40, 40)",,
"(600, 460, 40, 40)",,
"(600, 320, 40, 40)",,
"(600, 380, 40, 80)",,
"(600, 100, 40, 40)",,
"(600, 80, 40, 80)",,
"(600, 100, 40, 40)",,
"(680, 300, 40, 80)",,
"(680, 300, 40, 120)",,
"(680, 280, 40, 40)",,
"(680, 0, 40, 80)",,
"(680, 640, 40, 120)",,
"(680, 340, 40, 80)",,
"(680, 100, 40, 40)",,
"(680, 600, 40, 40)",,
"(760, 200, 40, 80)",,
"(760, 260, 40, 40)",,
"(760, 600, 40, 80)",,
"(760, 640, 40, 40)",,
"(760, 400, 40, 40)",,
"(760, 320, 40, 80)",,
"(760, 420, 40, 120)",,
"(760, 480, 40, 120)",,
"(840, 200, 40, 40)",,
"(840, 620, 40, 120)",,
"(840, 20, 40, 80)",,
"(840, 260, 40, 40)",,
"(840, 360, 40, 40)",,
"(840, 420, 40, 80)",,
"(840, 260, 40, 80)",,
"(840, 620, 40, 40)",,
