obstacle,treasure,fragment,difficulty,screen_size
"(120, 0, 40, 80)","(540, 200, 40, 20)","(730, 430, 20, 20)",4.0,800.0
"(120, 480, 40, 80)","(460, 760, 40, 20)","(570, 430, 20, 20)",4.0,800.0
"(120, 480, 40, 80)","(240, 700, 40, 20)","(290, 610, 20, 20)",,
"(120, 480, 40, 40)","(580, 200, 40, 20)","(330, 310, 20, 20)",,
"(120, 140, 40, 80)",,"(690, 30, 20, 20)",,
"(120, 220, 40, 40)",,"(490, 190, 20, 20)",,
"(120, 80, 40, 120)",,"(530, 250, 20, 20)",,
"(120, 320, 40, 80)",,"(290, 670, 20, 20)",,
"(200, 160, 40, 120)",,"(250, 650, 20, 20)",,
"(200, 300, 40, 40)",,"(250, 390, 20, 20)",,
"(200, 440, 40, 80)",,"(310, 30, 20, 20)",,
"(200, 660, 40, 80)",,"(390, 210, 20, 20)",,
"(200, 120, 40, 40)",,,,
"(200, 80, 40, 40)",,,,
"(200, 700, 40, 80)",,,,
"(200, 520, 40, 120)",,,,
"(280, 340, 40, 40)",,,,
"(280, 440, 40, 40)",,,,
"(280, 480, 40, 80)",,,,
"(280, 200, 40, 80)",,,,
"(280, 500, 40, 80)",,,,
"(280, 340, 40, 80)",,,,
"(280, 440, 40, 40)",,,,
"(280, 100, 40, 40)",,,,
"(360, 440, 40, 40)",,,,
"(360, 140, 40, 40)",,,,
"(360, 20, 40, 80)",,,,
"(360, 300, 40, 80)",,,,
"(360, 20, 40, 80)",,,,
"(360, 320, 40, 40)",,,,
"(360, 240, 40, 40)",,,,
"(360, 60, 40, 40)",,,,
"(440, 580, 40, 40)",,,,
"(440, 300, 40, 120)",,,,
"(440, 300, 40, 40)",,,,
"(440, 520, 40, 80)",,,,
"(440, 280, 40, 80)",,,,
"(440, 140, 40, 80)",,,,
"(440, 0, 40, 80)",,,,
"(440, 520, 40, 40)",,,,
"(520, 620, 40, 120)",,,,
"(520, 540, 40, 80)",,,,
"(520, 40, 40, 80)",,,,
"(520, 600, 40, 80)",,,,
"(520, 600, 40, 40)",,,,
"(520, 520, 40, 40)",,,,
"(520, 600, 40, 120)",,,,
"(520, 680, 40, 80)",,,,
"(600, 640, 40, 40)",,,,
"(600, 320, 40, 80)",,,,
"(600, 300, 40, 80)",,,,
"(600, 480, 40, 80)",,,,
"(600, 700, 40, 80)",,,,
"(600, 320, 40, 80)",,,,
"(600, 340, 40, 80)",,,,
"(600, 700, 40, 40)",,,,
"(680, 240, 40, 80)",,,,
"(680, 540, 40, 120)",,,,
"(680, 60, 40, 80)",,,,
"(680, 500, 40, 80)",,,,
"(680, 360, 40, 40)",,,,
"(680, 460, 40, 80)",,,,
"(680, 160, 40, 120)",,,,
"(680, 280, 40, 40)",,,,
"(760, 460, 40, 80)",,,,
"(760, 140, 40, 40)",,,,
"(760, 340, 40, 40)",,,,
"(760, 680, 40, 80)",,,,
"(760, 400, 40, 80)",,,,
"(760, 160, 40, 80)",,,,
"(760, 60, 40, 120)",,,,
"(760, 260, 40, 40)",,,,
"(840, 660, 40, 40)",,,,
"(840, 400, 40, 40)",,,,
"(840, 160, 40, 80)",,,,
"(840, 680, 40, 80)",,,,
"(840, 600, 40, 40)",,,,
"(840, 20, 40, 120)",,,,
"(840, 320, 40, 120)",,,,
"(840, 460, 40, 80)",,,,
