obstacle,obstacle_type,treasure,fragment,difficulty
"(200, 320, 120, 240)",river,"(470, 70, 40, 20)","(310, 150, 20, 20)",2.0
"(200, 600, 120, 240)",river,"(610, 630, 40, 20)","(330, 570, 20, 20)",
"(360, 200, 120, 120)",rock,,"(370, 30, 20, 20)",
"(360, 340, 120, 360)",river,,"(310, 270, 20, 20)",
"(520, 60, 120, 240)",rock,,"(270, 170, 20, 20)",
"(520, 360, 120, 240)",river,,"(330, 670, 20, 20)",
"(520, 680, 120, 240)",rock,,,
"(680, 180, 120, 240)",river,,,
"(680, 620, 120, 120)",rock,,,
"(680, 460, 120, 120)",river,,,
"(840, 440, 120, 120)",rock,,,
"(840, 660, 120, 240)",river,,,
"(840, 60, 120, 120)",river,,,
"(840, 180, 120, 120)",river,,,
