vertices,neighbours,initial_pos,player_id,map_id
"(16, 396)","[(36, 396)]",16.0,Jessica,9.0
"(36, 396)","[(16, 396), (56, 396)]",396.0,,
"(56, 396)","[(76, 396), (36, 396)]",,,
"(76, 396)","[(96, 396), (56, 396)]",,,
"(96, 396)","[(76, 396), (116, 396)]",,,
"(116, 396)","[(96, 396), (136, 396)]",,,
"(136, 396)","[(156, 396), (116, 396)]",,,
"(156, 396)","[(176, 396), (136, 396)]",,,
"(176, 396)","[(156, 396), (176, 416)]",,,
"(176, 416)","[(176, 436), (176, 396)]",,,
"(176, 436)","[(176, 456), (176, 416)]",,,
"(176, 456)","[(176, 436), (176, 476)]",,,
"(176, 476)","[(176, 456), (176, 496)]",,,
"(176, 496)","[(176, 476), (176, 516)]",,,
"(176, 516)","[(176, 536), (176, 496)]",,,
"(176, 536)","[(176, 556), (176, 516)]",,,
"(176, 556)","[(176, 576), (176, 536)]",,,
"(176, 576)","[(176, 596), (176, 556)]",,,
"(176, 596)","[(176, 576), (176, 616)]",,,
"(176, 616)","[(176, 596), (176, 636)]",,,
"(176, 636)","[(176, 656), (176, 616)]",,,
"(176, 656)","[(176, 636), (176, 676)]",,,
"(176, 676)","[(176, 656), (176, 696)]",,,
"(176, 696)","[(176, 716), (176, 676)]",,,
"(176, 716)","[(176, 696), (176, 736)]",,,
"(176, 736)","[(176, 716), (176, 756)]",,,
"(176, 756)","[(176, 776), (176, 736)]",,,
"(176, 776)","[(176, 756), (196, 776)]",,,
"(196, 776)","[(216, 776), (176, 776)]",,,
"(216, 776)","[(196, 776), (236, 776)]",,,
"(236, 776)","[(216, 776), (256, 776)]",,,
"(256, 776)","[(276, 776), (236, 776)]",,,
"(276, 776)","[(296, 776), (256, 776)]",,,
"(296, 776)","[(316, 776), (276, 776)]",,,
"(316, 776)","[(336, 776), (296, 776)]",,,
"(336, 776)","[(316, 776), (336, 756)]",,,
"(336, 756)","[(336, 736), (336, 776)]",,,
"(336, 736)","[(336, 756), (336, 716)]",,,
"(336, 716)","[(336, 696), (336, 736)]",,,
"(336, 696)","[(336, 676), (336, 716)]",,,
"(336, 676)","[(336, 696), (336, 656)]",,,
"(336, 656)","[(336, 676), (336, 636)]",,,
"(336, 636)","[(336, 616), (336, 656)]",,,
"(336, 616)","[(336, 636), (356, 616)]",,,
"(356, 616)","[(336, 616), (376, 616)]",,,
"(376, 616)","[(356, 616), (396, 616)]",,,
"(396, 616)","[(416, 616), (376, 616)]",,,
"(416, 616)","[(436, 616), (396, 616)]",,,
"(436, 616)","[(416, 616), (456, 616)]",,,
"(456, 616)","[(436, 616), (476, 616)]",,,
"(476, 616)","[(496, 616), (456, 616)]",,,
"(496, 616)","[(496, 596), (476, 616)]",,,
"(496, 596)","[(496, 616), (496, 576)]",,,
"(496, 576)","[(516, 576), (496, 596), (496, 556)]",,,
"(496, 556)","[(496, 536), (496, 576)]",,,
"(496, 536)","[(496, 516), (496, 556)]",,,
"(496, 516)","[(496, 496), (496, 536)]",,,
"(496, 496)","[(496, 516)]",,,
"(516, 576)","[(496, 576), (536, 576)]",,,
"(536, 576)","[(516, 576), (536, 596), (536, 556), (556, 576)]",,,
"(556, 576)","[(576, 576), (536, 576)]",,,
"(576, 576)","[(596, 576), (556, 576)]",,,
"(596, 576)","[(576, 576), (616, 576)]",,,
"(616, 576)","[(636, 576), (596, 576)]",,,
"(636, 576)","[(616, 576), (656, 576)]",,,
"(656, 576)","[(636, 576), (656, 556)]",,,
"(656, 556)","[(656, 536), (656, 576)]",,,
"(656, 536)","[(656, 516), (656, 556), (636, 536)]",,,
"(656, 516)","[(656, 536), (656, 496)]",,,
"(656, 496)","[(656, 516), (656, 476)]",,,
"(656, 476)","[(656, 496), (656, 456)]",,,
"(656, 456)","[(656, 436), (656, 476)]",,,
"(656, 436)","[(656, 456), (656, 416)]",,,
"(656, 416)","[(656, 436), (656, 396)]",,,
"(656, 396)","[(656, 376), (656, 416)]",,,
"(656, 376)","[(656, 356), (656, 396)]",,,
"(656, 356)","[(656, 336), (656, 376)]",,,
"(656, 336)","[(656, 356), (656, 316)]",,,
"(656, 316)","[(656, 336), (656, 296)]",,,
"(656, 296)","[(656, 276), (656, 316)]",,,
"(656, 276)","[(656, 296), (656, 256)]",,,
"(656, 256)","[(656, 276), (656, 236)]",,,
"(656, 236)","[(656, 256), (656, 216)]",,,
"(656, 216)","[(656, 236), (656, 196)]",,,
"(656, 196)","[(656, 176), (656, 216)]",,,
"(656, 176)","[(656, 156), (656, 196)]",,,
"(656, 156)","[(656, 176), (656, 136)]",,,
"(656, 136)","[(656, 156), (656, 116)]",,,
"(656, 116)","[(656, 96), (656, 136)]",,,
"(656, 96)","[(656, 76), (656, 116)]",,,
"(656, 76)","[(656, 96), (656, 56)]",,,
"(656, 56)","[(656, 76), (656, 36)]",,,
"(656, 36)","[(676, 36), (656, 56)]",,,
"(676, 36)","[(696, 36), (656, 36)]",,,
"(696, 36)","[(676, 36), (716, 36)]",,,
"(716, 36)","[(696, 36)]",,,
"(636, 536)","[(656, 536), (616, 536)]",,,
"(616, 536)","[(596, 536), (636, 536)]",,,
"(596, 536)","[(616, 536), (576, 536)]",,,
"(576, 536)","[(556, 536), (596, 536)]",,,
"(556, 536)","[(536, 536), (576, 536)]",,,
"(536, 536)","[(556, 536), (536, 556)]",,,
"(536, 556)","[(536, 536), (536, 576)]",,,
"(536, 596)","[(536, 616), (536, 576)]",,,
"(536, 616)","[(536, 596)]",,,
